Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
373.18216	24.1522	24.2738	24.2738	1	z1:373.1822	1	1	373.17824	374.18551	1.8466e5	1	1
1244.67139	24.1867	24.1867	24.2253	1	z1:1244.6714	1	1	1241.65740	1242.66468	1.8452e5	1	1
463.18381	24.5637	24.5637	24.6205	1	z1:463.1838	1	1	462.17653	463.18381	1.8438e5	1	1
1474.71375	24.4808	24.4808	24.5637	2	z2:1474.7137	1	2	2938.38274	1470.19865	1.8416e5	1	1
1376.58984	24.6553	24.6553	24.7448	1	z1:1376.5898	1	1	1373.57586	1374.58313	1.8380e5	1	1
592.26227	24.8227	24.8730	24.8730	1	z1:592.2623	1	1	589.24828	590.25556	1.8350e5	1	1
331.14981	24.1867	24.1867	24.2253	2	z2:331.1498	1	2	658.27836	330.14646	1.8337e5	1	1
459.21884	24.3432	24.3432	24.3780	4	z4:459.2188	1	4	1828.83284	458.21549	1.8329e5	1	1
310.15570	24.4808	24.4808	24.5637	4	z4:310.1557	1	4	1232.58028	309.15235	1.8314e5	1	1
1453.71423	24.3432	24.4332	24.4332	2	z2:1453.7142	1	2	2896.38372	1449.19914	1.8268e5	1	1
375.54263	24.2738	24.2738	24.3087	5	z5:375.5426	1	5	1868.66336	374.73995	1.8256e5	1	1
520.22351	24.3432	24.3432	24.4332	2	z2:520.2235	1	2	1036.42576	519.22016	1.8247e5	1	1
405.19693	24.0783	24.0783	24.2253	2	z2:405.1969	1	2	806.37260	404.19358	1.8201e5	1	1
699.37689	24.6987	24.6987	24.7837	1	z1:699.3769	1	1	696.36291	697.37018	1.8197e5	1	1
465.21857	24.2253	24.2253	24.2738	2	z2:465.2186	1	2	926.41587	464.21521	1.8177e5	1	1
490.25101	24.6987	24.6987	24.7837	3	z3:490.2510	1	3	1464.72113	489.24765	1.8126e5	1	1
410.53912	24.3087	24.3087	24.3432	5	z5:410.5391	1	5	2041.63911	409.33510	1.8115e5	1	1
1498.85388	24.3780	24.3780	24.4332	3	z3:1498.8539	1	3	4478.48949	1493.83711	1.8085e5	1	1
742.36407	24.0440	24.0440	24.1215	2	z2:742.3641	1	2	1478.70018	740.35737	1.8082e5	1	1
503.22772	24.7837	24.7837	24.8227	2	z2:503.2277	1	2	1002.43418	502.22437	1.8058e5	1	1
601.79749	24.7837	24.8227	24.8227	6	z6:601.7975	1	6	3592.70100	599.79078	1.8050e5	1	1
1371.34619	24.8227	24.8730	24.8730	3	z3:1371.3462	1	3	4097.97313	1366.99832	1.8018e5	1	1
383.22025	24.2253	24.3087	24.3087	2	z2:383.2202	1	2	762.41923	382.21689	1.8018e5	1	1
460.72845	24.6553	24.6553	24.6987	2	z2:460.7285	1	2	918.43900	460.22678	1.7979e5	1	1
1319.14050	24.5127	24.5127	24.5637	1	z1:1319.1405	1	1	1316.12652	1317.13379	1.7933e5	1	1
458.23511	24.2253	24.3087	24.3432	2	z2:458.2351	1	2	913.45231	457.73343	1.7916e5	1	1
862.41681	24.4808	24.5127	24.5127	1	z1:862.4168	1	1	858.39947	859.40674	1.7877e5	1	1
743.32031	24.3087	24.3087	24.3432	2	z2:743.3203	1	2	1480.61265	741.31360	1.7814e5	1	1
320.19293	24.0440	24.0440	24.1215	1	z1:320.1929	1	1	320.18901	321.19629	1.7808e5	1	1
1261.66736	24.3432	24.3432	24.3780	3	z3:1261.6674	1	3	3768.93663	1257.31949	1.7725e5	1	1
303.16620	24.1215	24.1215	24.1522	4	z4:303.1662	1	4	1204.62227	302.16284	1.7702e5	1	1
397.18185	24.2253	24.2253	24.2738	2	z2:397.1819	1	2	790.34245	396.17850	1.7685e5	1	1
490.25101	24.0440	24.1215	24.1215	2	z2:490.2510	1	2	977.48411	489.74933	1.7660e5	1	1
739.40771	24.2738	24.3432	24.3432	1	z1:739.4077	1	1	736.39373	737.40101	1.7653e5	1	1
526.25153	24.7837	24.8227	24.8227	1	z1:526.2515	1	1	526.24760	527.25488	1.7574e5	1	1
1498.67847	24.8227	24.9125	24.9125	3	z3:1498.6785	1	3	4477.96325	1493.66169	1.7515e5	1	1
343.17056	24.1867	24.1867	24.2253	4	z4:343.1706	1	4	1364.63973	342.16721	1.7508e5	1	1
1156.65332	24.3087	24.3087	24.3780	2	z2:1156.6533	1	2	2305.27196	1153.64326	1.7374e5	1	1
664.62640	24.8730	24.8730	24.9125	2	z2:664.6264	1	2	1325.23155	663.62305	1.7372e5	1	1
343.19699	24.4808	24.4808	24.5637	1	z1:343.1970	1	1	343.19307	344.20035	1.7372e5	1	1
353.19217	24.0440	24.0440	24.0783	1	z1:353.1922	1	1	352.18489	353.19217	1.7334e5	1	1
364.19702	24.1867	24.2253	24.2253	4	z4:364.1970	1	4	1446.73885	362.69199	1.7313e5	1	1
428.23611	24.2253	24.2738	24.2738	1	z1:428.2361	1	1	428.23219	429.23947	1.7187e5	1	1
805.36554	24.5127	24.5637	24.5637	3	z3:805.3655	1	3	2407.05466	803.35883	1.7137e5	1	1
1480.68030	24.0783	24.1522	24.1522	1	z1:1480.6803	1	1	1475.65960	1476.66688	1.7133e5	1	1
747.39148	24.5637	24.5637	24.6553	2	z2:747.3915	1	2	1488.75499	745.38477	1.7070e5	1	1
1235.03003	24.7837	24.8730	24.8730	2	z2:1235.0300	1	2	2462.02538	1232.01996	1.7052e5	1	1
812.34070	24.1522	24.1867	24.1867	2	z2:812.3407	1	2	1618.65342	810.33399	1.7041e5	1	1
354.84064	24.8227	24.8730	24.8730	2	z2:354.8406	1	2	705.66001	353.83728	1.6895e5	1	1
456.24393	24.0440	24.0440	24.0783	4	z4:456.2439	1	4	1814.92647	454.73889	1.6879e5	1	1
534.25104	24.3087	24.3087	24.3432	4	z4:534.2510	1	4	2128.96163	533.24768	1.6873e5	1	1
1487.37659	24.1522	24.2253	24.2253	1	z1:1487.3766	1	1	1482.35589	1483.36317	1.6857e5	1	1
478.22394	24.7448	24.7448	24.7837	2	z2:478.2239	1	2	953.42997	477.72226	1.6847e5	1	1
653.32336	24.2253	24.2253	24.2738	1	z1:653.3234	1	1	650.30938	651.31665	1.6847e5	1	1
387.20950	24.4808	24.4808	24.5127	4	z4:387.2095	1	4	1542.80220	386.70783	1.6842e5	1	1
558.24957	24.3432	24.3432	24.3780	1	z1:558.2496	1	1	555.23559	556.24286	1.6805e5	1	1
1261.60815	24.1867	24.1867	24.2738	1	z1:1261.6082	1	1	1258.59417	1259.60144	1.6778e5	1	1
382.19055	24.2738	24.3432	24.3432	1	z1:382.1906	1	1	381.18328	382.19055	1.6725e5	1	1
426.18445	24.1522	24.1522	24.2253	4	z4:426.1844	1	4	1696.69527	425.18109	1.6719e5	1	1
983.46210	24.0440	24.0783	24.1215	1	z1:983.4621	1	1	980.44811	981.45539	1.6679e5	1	1
315.65448	24.7448	24.7448	24.7837	1	z1:315.6545	1	1	314.64720	315.65448	1.6677e5	1	1
309.68158	24.0783	24.0783	24.1522	4	z4:309.6816	1	4	1230.68379	308.67822	1.6662e5	1	1
564.24042	24.2253	24.3087	24.3087	1	z1:564.2404	1	1	561.22643	562.23371	1.6655e5	1	1
544.75684	24.5637	24.6205	24.6205	4	z4:544.7568	1	4	2168.97811	543.25180	1.6622e5	1	1
1132.58569	24.0440	24.1215	24.1215	3	z3:1132.5857	1	3	3386.70841	1129.91008	1.6599e5	1	1
421.20709	24.9125	24.9125	24.9363	4	z4:421.2071	1	4	1674.77913	419.70206	1.6575e5	1	1
335.71613	24.0440	24.0783	24.0783	4	z4:335.7161	1	4	1334.82198	334.71277	1.6566e5	1	1
322.19391	24.0783	24.1215	24.1215	1	z1:322.1939	1	1	322.18999	323.19726	1.6475e5	1	1
712.35388	24.3780	24.4332	24.4332	2	z2:712.3539	1	2	1418.67979	710.34717	1.6423e5	1	1
388.71667	24.0440	24.0783	24.0783	2	z2:388.7167	1	2	772.40873	387.21164	1.6340e5	1	1
343.18378	24.8227	24.8730	24.8730	4	z4:343.1838	1	4	1368.70600	343.18378	1.6267e5	1	1
1193.61121	24.4332	24.4332	24.5127	2	z2:1193.6112	1	2	2378.18438	1190.09946	1.6211e5	1	1
1353.68347	24.1867	24.2253	24.2253	1	z1:1353.6835	1	1	1350.66949	1351.67676	1.6198e5	1	1
332.16306	24.9363	24.9363	24.9632	4	z4:332.1631	1	4	1322.61641	331.66138	1.6145e5	1	1
529.27045	24.1215	24.1215	24.2253	1	z1:529.2704	1	1	528.26317	529.27045	1.6132e5	1	1
791.31622	24.8227	24.8227	24.8730	2	z2:791.3162	1	2	1576.60447	789.30951	1.6065e5	1	1
1473.05676	24.1522	24.2253	24.2253	1	z1:1473.0568	1	1	1468.03607	1469.04334	1.6052e5	1	1
1468.09216	24.1522	24.2253	24.2253	3	z3:1468.0922	1	3	4386.20434	1463.07539	1.6044e5	1	1
407.26346	24.2253	24.2253	24.2738	4	z4:407.2635	1	4	1623.01802	406.76178	1.6035e5	1	1
312.96707	24.1215	24.1522	24.2253	4	z4:312.9671	1	4	1245.83247	312.46539	1.6019e5	1	1
1087.49011	24.6553	24.6987	24.6987	3	z3:1087.4901	1	3	3249.41496	1084.14560	1.5993e5	1	1
586.36511	24.9363	24.9363	24.9632	1	z1:586.3651	1	1	583.35113	584.35840	1.5850e5	1	1
393.51984	24.2253	24.3087	24.3087	6	z6:393.5198	1	6	2347.04852	392.18203	1.5819e5	1	1
1026.54614	24.3087	24.3780	24.3780	4	z4:1026.5461	1	4	4091.11856	1023.78692	1.5758e5	1	1
833.43646	24.0440	24.0440	24.1215	4	z4:833.4365	1	4	3321.68991	831.42975	1.5728e5	1	1
1268.98853	24.0783	24.0783	24.1215	3	z3:1268.9885	1	3	3791.90349	1264.97511	1.5701e5	1	1
901.43420	24.7448	24.8227	24.8227	1	z1:901.4342	1	1	898.42022	899.42749	1.5688e5	1	1
331.66727	24.4808	24.5127	24.5127	2	z2:331.6673	1	2	659.31327	330.66391	1.5651e5	1	1
669.30908	24.1867	24.2253	24.2253	1	z1:669.3091	1	1	666.29510	667.30237	1.5649e5	1	1
574.26477	24.2738	24.2738	24.3087	1	z1:574.2648	1	1	572.25414	573.26142	1.5632e5	1	1
958.49719	24.7837	24.7837	24.8227	1	z1:958.4972	1	1	955.48321	956.49048	1.5626e5	1	1
453.57327	24.8730	24.8730	24.9363	6	z6:453.5733	1	6	2705.36243	451.90101	1.5601e5	1	1
727.95728	24.6987	24.6987	24.7448	3	z3:727.9573	1	3	2174.82987	725.95057	1.5538e5	1	1
371.19760	24.7448	24.7448	24.7837	1	z1:371.1976	1	1	371.19368	372.20096	1.5517e5	1	1
1265.31580	24.5637	24.6205	24.6205	2	z2:1265.3158	1	2	2522.59691	1262.30573	1.5503e5	1	1
1389.18066	24.1867	24.1867	24.2253	2	z2:1389.1807	1	2	2767.31658	1384.66557	1.5479e5	1	1
494.31601	24.0783	24.0783	24.1522	1	z1:494.3160	1	1	492.30538	493.31265	1.5403e5	1	1
333.17523	24.0440	24.1215	24.1215	4	z4:333.1752	1	4	1328.67182	333.17523	1.5396e5	1	1
367.17593	24.5637	24.6205	24.6205	2	z2:367.1759	1	2	730.33061	366.17258	1.5387e5	1	1
303.66342	24.1215	24.1215	24.1522	4	z4:303.6634	1	4	1210.62458	303.66342	1.5341e5	1	1
1473.01404	24.6987	24.6987	24.7837	1	z1:1473.0140	1	1	1467.99334	1469.00062	1.5311e5	1	1
1409.74304	24.3780	24.3780	24.4332	1	z1:1409.7430	1	1	1405.72570	1406.73298	1.5289e5	1	1
1051.02185	24.0783	24.0783	24.1215	2	z2:1051.0219	1	2	2096.01573	1049.01514	1.5268e5	1	1
358.21979	24.7837	24.8227	24.8227	2	z2:358.2198	1	2	712.41831	357.21643	1.5264e5	1	1
1100.55371	24.1867	24.1867	24.2738	1	z1:1100.5537	1	1	1097.53972	1098.54700	1.5230e5	1	1
1400.69629	24.1522	24.2253	24.2253	2	z2:1400.6963	1	2	2790.34783	1396.18119	1.5226e5	1	1
372.70322	24.9125	24.9363	24.9363	4	z4:372.7032	1	4	1482.77034	371.69986	1.5091e5	1	1
365.21002	24.5127	24.5637	24.5637	1	z1:365.2100	1	1	365.20610	366.21338	1.5043e5	1	1
383.85596	24.2738	24.3087	24.3087	6	z6:383.8560	1	6	2291.07195	382.85260	1.4990e5	1	1
373.69476	24.9363	24.9363	24.9632	5	z5:373.6948	1	5	1859.42401	372.89208	1.4981e5	1	1
329.22968	24.0440	24.1215	24.1215	5	z5:329.2297	1	5	1636.09522	328.22632	1.4973e5	1	1
420.70291	24.0440	24.0783	24.0783	4	z4:420.7029	1	4	1672.76241	419.19788	1.4852e5	1	1
673.31781	24.2253	24.2738	24.2738	1	z1:673.3178	1	1	671.30718	672.31446	1.4811e5	1	1
430.19324	24.7837	24.8227	24.8227	1	z1:430.1932	1	1	430.18932	431.19659	1.4780e5	1	1
367.21317	24.1867	24.1867	24.2253	1	z1:367.2132	1	1	366.20589	367.21317	1.4778e5	1	1
353.19217	24.4808	24.5127	24.5127	5	z5:353.1922	1	5	1755.90769	352.18881	1.4738e5	1	1
312.67126	24.8227	24.8730	24.8730	1	z1:312.6713	1	1	311.66399	312.67126	1.4681e5	1	1
1197.59436	24.1522	24.2253	24.2253	2	z2:1197.5944	1	2	2387.15404	1194.58430	1.4591e5	1	1
